,Time,Grid size,Schedule,Threads,Write output id
0,390.093455,8000,"dynamic,50",1,96
1,3.165061,4000,"dynamic,150",32,85
2,14.401935,8000,"dynamic,200",64,114
3,23.518144,2000,"dynamic,1000",1,68
4,3.168720,4000,"dynamic,50",64,74
5,14.116322,8000,"dynamic,150",32,109
6,16.393300,8000,"dynamic,50",128,99
7,5.728323,1000,"dynamic,1000",1,44
8,0.134665,1000,"dynamic,200",64,42
9,379.832150,8000,"dynamic,150",1,108
10,0.041321,500,"dynamic,1000",64,22
11,12.160507,8000,"dynamic,100",32,105
12,3.122212,4000,"dynamic,1000",64,94
13,0.062359,500,"dynamic,50",64,2
14,3.184801,4000,"dynamic,200",64,90
15,23.949925,8000,"dynamic,150",128,111
16,10.921196,4000,"dynamic,75",128,79
17,3.249672,4000,"dynamic,150",64,86
18,1.436637,500,"dynamic,100",1,8
19,0.056903,500,"dynamic,50",32,1
20,8.226221,2000,"dynamic,75",128,55
21,0.143406,500,"dynamic,100",128,11
22,0.201590,1000,"dynamic,75",32,29
23,0.124096,1000,"dynamic,75",64,30
24,0.061329,500,"dynamic,200",128,19
25,5.843016,1000,"dynamic,75",1,28
26,14.409539,8000,"dynamic,1000",64,118
27,0.056452,500,"dynamic,1000",32,21
28,0.159170,1000,"dynamic,75",128,31
29,0.512385,2000,"dynamic,1000",128,71
30,0.041169,500,"dynamic,200",64,18
31,15.330641,8000,"dynamic,75",128,103
32,5.842683,1000,"dynamic,100",1,32
33,0.131727,1000,"dynamic,50",64,26
34,5.854652,1000,"dynamic,200",1,40
35,0.505714,2000,"dynamic,150",128,63
36,23.400535,2000,"dynamic,75",1,52
37,0.738939,2000,"dynamic,100",32,57
38,4.549854,4000,"dynamic,100",128,83
39,4.260712,4000,"dynamic,150",128,87
40,93.902735,4000,"dynamic,1000",1,92
41,0.155295,1000,"dynamic,150",128,39
42,1.429909,500,"dynamic,50",1,0
43,375.664500,8000,"dynamic,200",1,112
44,3.676564,4000,"dynamic,200",128,91
45,1.473351,500,"dynamic,1000",1,20
46,0.800214,2000,"dynamic,200",64,66
47,0.567321,1000,"dynamic,50",128,27
48,15.387671,8000,"dynamic,1000",128,119
49,3.230027,4000,"dynamic,50",32,73
50,0.460882,2000,"dynamic,1000",64,70
51,14.640529,8000,"dynamic,100",64,106
52,12.397116,1000,"dynamic,100",128,35
53,0.787709,2000,"dynamic,75",32,53
54,0.460689,2000,"dynamic,100",64,58
55,4.803988,4000,"dynamic,50",128,75
56,12.076157,8000,"dynamic,50",32,97
57,3.477812,4000,"dynamic,75",32,77
58,0.443981,2000,"dynamic,50",64,50
59,376.465666,8000,"dynamic,1000",1,116
60,0.056450,500,"dynamic,75",32,5
61,5.852601,1000,"dynamic,150",1,36
62,0.776955,2000,"dynamic,50",32,49
63,23.678636,2000,"dynamic,100",1,56
64,377.217543,8000,"dynamic,100",1,104
65,3.186419,4000,"dynamic,100",32,81
66,12.306472,500,"dynamic,150",128,15
67,14.138543,8000,"dynamic,200",32,113
68,0.771342,2000,"dynamic,1000",32,69
69,0.779605,2000,"dynamic,150",32,61
70,5.725193,1000,"dynamic,50",1,24
71,15.319107,8000,"dynamic,100",128,107
72,14.356761,8000,"dynamic,1000",32,117
73,0.194721,1000,"dynamic,100",32,33
74,12.864209,2000,"dynamic,200",128,67
75,1.430136,500,"dynamic,150",1,12
76,22.201236,8000,"dynamic,150",64,110
77,0.193450,1000,"dynamic,150",32,37
78,0.840693,2000,"dynamic,75",64,54
79,12.352495,500,"dynamic,50",128,3
80,14.782549,8000,"dynamic,75",64,102
81,377.193504,8000,"dynamic,75",1,100
82,4.345806,4000,"dynamic,75",64,78
83,0.126728,1000,"dynamic,150",64,38
84,1.467444,500,"dynamic,75",1,4
85,0.051668,500,"dynamic,150",32,13
86,0.160018,1000,"dynamic,1000",128,47
87,0.501018,2000,"dynamic,100",128,59
88,0.051498,500,"dynamic,200",32,17
89,93.315843,4000,"dynamic,150",1,84
90,0.041282,500,"dynamic,75",64,6
91,0.078934,500,"dynamic,75",128,7
92,0.041222,500,"dynamic,100",64,10
93,93.492117,4000,"dynamic,200",1,88
94,93.952071,4000,"dynamic,50",1,72
95,95.001667,4000,"dynamic,100",1,80
96,23.364583,2000,"dynamic,200",1,64
97,0.753524,2000,"dynamic,200",32,65
98,3.778748,4000,"dynamic,1000",128,95
99,23.300666,2000,"dynamic,150",1,60
100,0.202464,1000,"dynamic,50",32,25
101,23.288550,2000,"dynamic,50",1,48
102,0.227237,1000,"dynamic,100",64,34
103,0.125089,1000,"dynamic,1000",64,46
104,0.190725,1000,"dynamic,1000",32,45
105,0.064731,500,"dynamic,150",64,14
106,0.190852,1000,"dynamic,200",32,41
107,93.882064,4000,"dynamic,75",1,76
108,3.183563,4000,"dynamic,100",64,82
109,3.074829,4000,"dynamic,200",32,89
110,0.526705,2000,"dynamic,50",128,51
111,0.320065,1000,"dynamic,200",128,43
112,3.275618,4000,"dynamic,1000",32,93
113,0.444947,2000,"dynamic,150",64,62
114,0.056117,500,"dynamic,100",32,9
115,14.554927,8000,"dynamic,50",64,98
116,1.429296,500,"dynamic,200",1,16
117,0.073665,500,"dynamic,1000",128,23
118,14.171701,8000,"dynamic,75",32,101
119,15.318685,8000,"dynamic,200",128,115
